Player,Nationality,RetainedTeam,RetentionPrice
Heinrich Klaasen,Foreigner,SRH,2300
Pat Cummins,Foreigner,SRH,1800
Abhishek Sharma,Indian,SRH,1400
Travis Head,Foreigner,SRH,1400
Ishan Kishan,Indian,SRH,1125
Harshal Patel,Indian,SRH,800
Nitish Kumar Reddy,Indian,SRH,600
Eshan Malinga,Foreigner,SRH,120
Brydon Carse,Foreigner,SRH,100
Jaydev Unadkat,Indian,SRH,100
Kamindu Mendis,Foreigner,SRH,75
Zeeshan Ansari,Indian,SRH,40
Aniket Verma,Indian,SRH,30
Harsh Dubey,Indian,SRH,30
Smaran Ravichandran,Indian,SRH,30
